name,type,description,relationships
Eldoria,Kingdom,"A prosperous kingdom known for its rich culture.",[]
Alara,Character,"A brave warrior from Eldoria.",["Kingdom:Eldoria"]
Thornwood Forest,Location,"A dark and mysterious forest.",[]
Crystal of Life,Artifact,"A magical crystal that grants eternal youth.",[]
Gorak,Character,"A fierce orc chieftain from the Shadowlands.",["Kingdom:Shadowlands"]
Shadowlands,Kingdom,"A desolate and dangerous land.",[]
Drakon,Creature,"A mighty dragon guarding ancient treasures.",["Location:Dragon's Peak"]
Dragon's Peak,Location,"A tall mountain where Drakon resides.",[]
Liora,Character,"A skilled mage from the Kingdom of Eldoria.",["Kingdom:Eldoria"]
Silverlake,Location,"A serene lake with healing properties.",["Kingdom:Eldoria"]
Moonblade,Artifact,"A legendary sword forged from moonlight.",[]
Valeria,Character,"A wise queen ruling Eldoria.",["Kingdom:Eldoria"]
Grimstone Keep,Location,"An ancient fortress now in ruins.",[]
Brimstone,Character,"A cunning rogue from the Shadowlands.",["Kingdom:Shadowlands"]
Eldermore,Character,"A powerful sorcerer seeking the Crystal of Life.",[]
Frosthaven,Location,"A frozen wasteland inhabited by ice giants.",[]
Glimmer,Character,"An elven archer with unmatched skill.",["Kingdom:Elvenwood"]
Elvenwood,Kingdom,"A mystical forest realm of the elves.",[]
Sir Gallant,Character,"A noble knight on a quest to find the Moonblade.",["Location:Silverlake"]
Blackheart,Character,"A notorious pirate feared across the seas.",[]
